common_name,botanical_name,māori_name,family,life_cycle,is_deciduous,sun,soil_ph,soil_type,max_height_m,max_spread_m,growth_rate,life_expectancy_years,propagation_method,sow_depth_cm,germination_days,time_to_maturity_years,flowering_months,fruiting_months,birds_attracted,traditional_uses,cultural_significance,coastal_notes,riparian_use,pest_disease_notes,slug,regions.auckland.planting_season,regions.auckland.planting_notes,regions.auckland.established_years,regions.christchurch.planting_season,regions.christchurch.planting_notes,regions.christchurch.established_years
Kōwhai,Sophora microphylla,Kōwhai,Fabaceae,tree,True,full sun to part shade,5.5-7.5,"well-draining, adaptable",8.0,6.0,slow_moderate,100,seed,0.5,variable (hot water treatment recommended),10,"[8, 9, 10, 11]","[11, 12, 1]","[""t\u016b\u012b"", ""kerer\u016b"", ""bellbird"", ""morepork""]","Tā moko dye (yellow), medicine (coughs and colds), nectar used as sweetener, wood for tools",National flower of NZ; blooms when whales migrate (traditional marker of seasonal change); considered rākau rangatira (chiefly tree),Some coastal tolerance; young plants need protection from salt-laden winds,Good for streambank stabilisation; tolerates periodic flooding,Watch for kōwhai pine sawfly; generally hardy once established,kowhai,,,,,,
Pōhutukawa,Metrosideros excelsa,Pōhutukawa,Myrtaceae,tree,False,full sun,5.5-7.0,"sandy, well-draining, coastal soils",20.0,25.0,moderate,500,seed,,14-28 (fresh seed),20,"[11, 12, 1, 2]","[1, 2, 3]","[""t\u016b\u012b"", ""bellbird"", ""k\u0101k\u0101"", ""honeyeaters""]",Bark used medicinally as astringent; flowers for red dye; wood for tools and smoking,Known as the 'New Zealand Christmas tree'; iconic coastal tree; symbol of resilience and strength,Excellent coastal tolerance; salt-spray and wind hardy; perfect for cliffs and exposed sites,Stabilises coastal cliffs and dunes; good for erosion control in windy sites,Myrtle rust (Austropuccinia psidii) — monitor; scale insects can occur; generally tough,pohutukawa,,,,,,
Kauri,Agathis australis,Kauri,Araucariaceae,tree,False,full sun,5.0-6.5,"deep, well-draining, fertile",50.0,20.0,moderate,2000,seed,2.5,30-60 (fresh seed),80,"[11, 12, 1, 2]","[2, 3, 4]","[""kerer\u016b"", ""k\u0101k\u0101"", ""t\u016b\u012b""]","Wood for waka (canoes), carving, housing; resin (gum) for medicine and varnish; bark for roofing",One of the most sacred trees to Māori; largest and longest-lived in NZ; features in many legends,Prefers inland sites; not salt tolerant; young trees need wind protection,Deep roots stabilise slopes; not for wet sites,Kauri dieback (Phytophthora agathidicida) — critical biosecurity risk; clean footwear before entering areas with kauri,kauri,,,,,,
Tōtara,Podocarpus totara,Tōtara,Podocarpaceae,tree,False,full sun to part shade,5.5-7.0,"well-draining, adaptable to clay",30.0,15.0,slow_moderate,800,seed,1.0,60-120 (variable),50,"[9, 10, 11]","[2, 3, 4]","[""kerer\u016b"", ""k\u0101k\u0101"", ""t\u016b\u012b"", ""bellbird""]","Wood for waka, houses, carving; bark for roofing and medicine; resin for glue and incense","Sacred to Māori; often planted in important places (marae, urupā); symbol of strength and longevity",Some coastal tolerance but prefers inland; young trees need wind shelter,Good for stabilising banks; tolerates some wet conditions,Generally healthy; watch	for root rot in poorly drained soils,totara,,,,,,
Mānuka,Leptospermum scoparium,Mānuka,Myrtaceae,shrub,False,full sun,5.5-7.5,"well-draining, dry to moist, adaptable, poor soils OK",5.0,4.0,slow_moderate,200,seed,,"14-60 (variable, smoke treatment improves)",8,"[10, 11, 12, 1, 2]","[1, 2, 3]","[""bees"", ""native insects"", ""bellbird"", ""t\u016b\u012b""]","Medicinal (mānuka honey antibacterial, tea from leaves for colds), firewood, tool handles, smoke for preserving",Mānuka honey is a taonga; plant considered rākau rangatira (chiefly tree); used in traditional healing,Tolerates coastal conditions; salt spray OK; wind hardy,Good for erosion control on slopes; tolerates periodic dryness,Myrtle rust risk; generally low maintenance; may get scale insects,manuka,,,,,,
Kānuka,Kunzea ericoides,Kānuka,Myrtaceae,tree,False,full sun,5.5-7.5,"well-draining, dry to moist, adaptable",10.0,6.0,moderate,300,seed,,14-30,10,"[11, 12, 1, 2]","[2, 3, 4]","[""native bees"", ""t\u016b\u012b"", ""bellbird"", ""small birds""]","Similar uses to mānuka — honey ( kanuka honey), firewood, medicine (leaves for infusions), fence posts",Often confused with mānuka; distinct ecological role as nurse crop; valuable for regeneration,Coastal to montane; more tolerant of wet soils than mānuka; wind resistant,Streambank stabilisation; nurse crop for forest regeneration; tolerates periodic wet feet,Myrtle rust monitoring required; otherwise very healthy,kanuka,,,,,,
Karaka,Corynocarpus laevigatus,Karaka,Corynocarpaceae,tree,partial,full sun to part shade,6.0-7.5,"well-draining, adaptable, tolerates coastal",15.0,10.0,moderate,300,seed,2.5,"60-120 (fresh seed, remove fleshy aril)",15,"[10, 11, 12, 1]","[2, 3, 4]","[""kerer\u016b"", ""k\u0101k\u0101"", ""t\u016b\u012b"", ""starlings""]",Fruit cooked and soaked to remove toxins; kernel food source; leaves used medicinally; wood for carving,Important food tree for Māori; widely planted around pā; distinctive orange berry,Very coastal tolerant; salt spray and wind hardy; excellent for exposed sites,Can stabilise banks but prefers well-drained; not for constantly wet sites,Generally healthy; sooty mould on honeydew from scale insects; possums love fruit,karaka,,,,,,
Tī kōuka,Cordyline australis,Tī kōuka,Asparagaceae,tree,False,full sun to part shade,6.0-7.5,"well-draining, adaptable, tolerates clay",20.0,4.0,slow_moderate,200,"stem cuttings, division",,,20,"[11, 12, 1, 2]","[2, 3, 4]","[""t\u016b\u012b"", ""bellbird"", "" Waxeyes""]","Fibre for weaving (kete, mats); food (cooked heart); medicinal (bark for wounds); fire starter (old leaves dry quickly)",Very important to Māori; numerous Culinary and material uses; often planted at marae; clusters indicate fertile soil,Good coastal tolerance; wind and salt spray OK; young plants need some shelter,Tolerates periodic wet feet; good for riparian edges,Sudden decline disease (pathogen unknown) can affect older trees; generally tough,ti-kouka,,,,,,
Rewarewa,Knightia excelsa,Rewarewa,Proteaceae,tree,False,full sun to part shade,5.5-6.5,"well-draining, moist, fertile",30.0,8.0,moderate,200,seed,1.0,30-60 (fresh seed),25,"[10, 11, 12, 1]","[2, 3, 4]","[""t\u016b\u012b"", ""bellbird"", ""honeyeaters"", ""kerer\u016b""]","Wood highly valued for its figuring (tiger-stripe pattern) – used for furniture, carving, decorative items; nectar from flowers was collected for sweetener",Renowned for beautiful timber; often called 'New Zealand walnut'; important to carving traditions,Prefers inland; not particularly salt tolerant; needs shelter from strong winds,Prefers well-drained slopes; not for constantly wet sites,Generally healthy; watch for sooty mould on scale insects; root rot in waterlogged soil,rewarewa,,,,,,
Rimu,Dacrydium cupressinum,Rimu,Podocarpaceae,tree,False,full sun to part shade,5.0-6.5,"deep, moist, well-draining, fertile",35.0,12.0,slow,600,seed,0.5,"90-180 (fresh seed, slow)",60,"[9, 10, 11]","[2, 3, 4]","[""kerer\u016b"", ""k\u0101k\u0101"", ""t\u016b\u012b""]","Wood for construction, furniture, veneer (prized timber); resin (gum) for varnish and medicine",Important timber tree historically; distinctive drooping branchlets; characteristic of lowland forest,Lowland species; not for exposed coastal sites,Prefers moist valleys and slopes; good for forest restoration in wetter areas,Generally healthy in suitable habitat; can suffer in urban pollution,rimu,,,,,,
Akeake,Dodonaea viscosa,Akeake,Sapindaceae,shrub,True,full sun to part shade,5.5-7.5,"well-draining, sandy, dry, poor soils OK",4.0,3.0,fast,100,"cuttings, seed",0.5,"21-60 (hard seed coat, nick to improve)",4,"[9, 10, 11, 12, 1, 2]","[2, 3, 4, 5]","[""native insects"", ""small birds""]","Wood very tough — used for tools, weapons, beaters; medicinal (bark for wounds); leaves for thatching","Name means 'to burn' — wood burns fiercely; valued for its tough, resilient wood; kaitiaki (guardian) plant in some traditions",Excellent coastal tolerance; salt spray and wind hardy; ideal for exposed sites and sand dunes,Good for stabilising banks and slopes; drought tolerant once established,Very hardy; minimal issues; occasional aphids,akeake,,,,,,
Karo,Pittosporum crassifolium,Karo,Pittosporaceae,shrub,False,full sun to part shade,6.0-7.5,"well-draining, adaptable, tolerates clay",5.0,3.0,moderate,150,"seed, cuttings",1.0,30-90,5,"[8, 9, 10, 11]","[11, 12, 1, 2]","[""t\u016b\u012b"", ""bellbird"", ""Waxeyes"", ""native insects""]",Resin (gum) used medicinally as antiseptic and for skin conditions; leaves as poultices; wood for small tools,Commonly used in traditional Māori healing; the resin has a distinctive scent; often planted around historic sites,Good coastal tolerance; salt spray and wind hardy; naturally found on coastal cliffs,Tolerates some wet conditions but prefers well-drained; good for stabilising slopes and banks,Generally healthy; can get pittosporum scale; bronze bug (Thaumastocoris) occasional,karo,,,,,,
Harakeke / Flax,Phormium tenax,Harakeke,Asphodelaceae,flax,False,full sun to part shade,6.0-7.5,"wet to moist, tolerates heavy soil",4.0,3.0,fast,indeterminate,division,,,5,"[9, 10, 11, 12, 1, 2]","[12, 1, 2]","[""t\u016b\u012b"", ""bellbird"", ""starlings"", ""honeyeaters"", ""morepork""]","Weaving (kete, cloaks, mats, ropes), medicinal (sap as antiseptic), food (nectar from flowers), cordage, sails",Essential to Māori material culture; taonga species; specific varieties (kōtuare) have high spiritual value; often grown on marae,Excellent coastal and estuarine tolerance; salt spray OK; wind hardy; stabilises dunes,Excellent for riparian planting and wetland edges; tolerates periodic flooding,Slug and snail damage to young leaves; otherwise very hardy; excess fertilizer causes leaf drop,harakeke,,,,,,
Mingimingi,Coprosma propinqua,Mingimingi,Rubiaceae,shrub,False,full sun to part shade,5.5-7.0,"well-draining, dry to moist, adaptable",2.5,2.0,slow_moderate,80,"cuttings, seed",0.5,30-90 (varies),4,"[8, 9, 10, 11]","[12, 1, 2, 3]","[""bellbird"", ""t\u016b\u012b"", ""Waxeyes"", ""kerer\u016b""]",Berries edible though tasteless; medicinal (bark as poultice); wood for small implements; leaves used in folk medicine for skin conditions,Widespread native shrub; important food source for birds; valued for its tiny purple berries,Coastal and inland; tolerates salt spray and wind; good for exposed sites,Good for stabilising banks and slopes; tolerates dry to moist conditions,Very hardy; minimal issues; occasional aphids or scale insects,mingimingi,,,,,,
Patē / Broadleaf,Griselinia littoralis,Patē,Griseliniaceae,shrub,False,"full sun to part shade, tolerates shade",6.0-7.5,"well-draining, adaptable, tolerates clay",5.0,3.0,moderate,100,"cuttings, seed",0.5,60-120,8,"[9, 10, 11]","[3, 4, 5]","[""t\u016b\u012b"", ""bellbird"", ""Waxeyes"", ""small birds""]",Wood for small implements; leaves used medicinally for skin conditions; bark for rope; shade and shelter,Common around traditional settlements; valued as hedging and shelter plant; indicator species for fertile soil,Coastal and lowland; tolerates salt spray and wind; naturalises in coastal gardens,Good for stabilising banks and slopes; tolerates some wet feet,Very healthy; minimal pest issues; may get leaf spot in humid conditions,pate,,,,,,
Koromiko,Veronica stricta,Koromiko,Plantaginaceae,shrub,False,full sun to part shade,5.5-7.5,"well-draining, moist, fertile",2.0,1.5,fast,30,"cuttings, seed",0.5,14-30,2,"[9, 10, 11, 12, 1, 2, 3, 4]","[3, 4, 5]","[""bees"", ""native insects"", ""butterflies"", ""small birds""]","Medicinal (infusions from leaves for diarrhoea, skin conditions); poultices; sometimes used as rongoā for internal ailments",Important medicinal plant (rongoā); widely used by Māori healers; quick-growing and easily accessible,Inland species; not particularly salt tolerant; prefers sheltered sites,Good for stabilising damp banks; tolerates moist conditions,Very healthy; few issues; can get powdery mildew in damp shady spots,koromiko,,,,,,
Hebe,Hebe speciosa,Koromiko (some varieties),Plantaginaceae,shrub,False,full sun,6.0-7.5,"well-draining, dry to moist, tolerates poor soils",1.5,1.5,moderate,15,"cuttings, seed",0.5,14-42,3,"[10, 11, 12, 1, 2, 3]","[3, 4, 5]","[""bees"", ""native insects"", ""butterflies"", ""honeyeaters""]",Some species used medicinally; ornamental beauty appreciated; nectar source for birds,Many species endemic; important in native gardens; showy flowers valued; some are threatened in the wild,Some coastal tolerance; wind hardy; salt-spray OK in sheltered spots,Suited to rock gardens and stabilising banks; prefers well-drained; not for constantly wet sites,Phytophthora root rot can affect poorly-drained plants; generally tough when sited correctly,hebe-speciosa,,,,,,
